PhD-Postdoc-Postdoc-Postdoc-Postdoc-S2DS-DataScience-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-Postdoc-DataScience-S2DS-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-Postdoc-Insight,1
PhD-Postdoc-Postdoc-Postdoc-Other-Other-S2DS-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-DataScience-DataScience-DataScience-DataScience-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-DataScience-DataScience-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-DataScience-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-Insight-DataScience-DataScience,1
PhD-Postdoc-Postdoc-Postdoc-Insight-DataScience,1
PhD-Postdoc-Postdoc-DataScience-DataScience,4
PhD-Postdoc-Postdoc-DataScience,1
PhD-Postdoc-Postdoc-Insight-DataScience-DataScience,3
PhD-Postdoc-Postdoc-Insight-DataScience,12
PhD-Postdoc-Postdoc-S2DS-DataScience,2
PhD-Postdoc-Other-Other-Other-Insight-DataScience,1
PhD-Postdoc-Other-Other-Other-DataScience,1
PhD-Postdoc-Other-Other-Insight-DataScience,1
PhD-Postdoc-Other-Insight-DataScience,1
PhD-Postdoc-Other-Postdoc-DataScience-DataScience,1
PhD-Postdoc-DataScience-DataScience-DataScience-DataScience,1
PhD-Postdoc-DataScience-DataScience,1
PhD-Postdoc-DataScience,3
PhD-Postdoc-Insight-DataScience-DataScience-DataScience-DataScience-DataScience,1
PhD-Postdoc-Insight-DataScience-DataScience-DataScience-DataScience,1
PhD-Postdoc-Insight-DataScience-DataScience-DataScience,1
PhD-Postdoc-Insight-DataScience-DataScience,7
PhD-Postdoc-Insight-DataScience,18
PhD-Postdoc-S2DS-DataScience-DataScience,1
PhD-Postdoc-S2DS-DataScience,2
PhD-Other-Other-S2DS-Other-DataScience-DataScience,1
PhD-Other-Postdoc-DataScience,1
PhD-Other-Postdoc-S2DS-Postdoc,1
PhD-DataScience-DataScience-DataScience-DataScience-DataScience-DataScience-DataScience,1
PhD-DataScience-DataScience,3
PhD-DataScience-Insight-DataScience-DataScience,1
PhD-DataScience-Postdoc-Insight-DataScience,1
PhD-DataScience,5
PhD-Insight-DataScience-DataScience-DataScience,5
PhD-Insight-DataScience-DataScience,6
PhD-Insight-DataScience-Insight-DataScience,1
PhD-Insight-DataScience,10
PhD-S2DS-DataScience-Postdoc,1
PhD-S2DS-DataScience-DataScience,2
PhD-S2DS-DataScience,1
PhD-S2DS-Postdoc,1
MSc-DataScience-Other-Other,1
MSc-Other-Insight-DataScience,1

